"순번","시군구코드","건물군일련번호","도로명코드","도로구간일련번호","기초구간일련번호","건물군명","건물군명영문","입력방법","위도","경도"
"30576","11260","534","3005032","863","13305"," ","Hanin Oli Station","1","37.5924924","127.0719358"
"30577","11230","1496","3105020","1287","11769"," "," "," ","37.5898675","127.0548571"
"30578","11230","2784","2000008","2339","21279"," "," "," ","37.5741304","127.0275031"
"29575","11230","2358","4115478","2099","18170"," "," ","1","37.5889241","127.0418288"
"29577","11230","2803","2000008","2339","21262","동대문우체국","Dongdaemun Post Office"," ","37.574856","127.0238718"
"29579","11170","2064","2005005","2880","24125","센트레빌 아스테리움 서울"," "," ","37.5512237","126.9732404"
"29580","11170","382","4106088","796","6864"," "," "," ","37.5411839","126.9592757"
"29581","11170","751","4106576","1557","13322"," "," "," ","37.549239","126.9767368"
"29583","11230","1109","3105006","1080","10130"," "," "," ","37.5830974","127.0382312"
"29585","11230","4084","3105013","3635","32072"," "," ","1","37.5793431","127.0563133"
"29586","11230","3587","3105018","2979","27619"," "," ","1","37.5839513","127.0435007"
"29587","11230","3817","4115734","3246","29776"," "," "," ","37.5968102","127.0627782"
"29588","11260","959","4118494","3398","29203"," "," ","1","37.6071661","127.0987855"
"29589","11260","177","4118248","113","2526","참사랑어린이집"," "," ","37.5894691","127.0890215"
"29591","11230","2490","4115475","2154","18717"," "," "," ","37.5895199","127.0405174"
"29592","11230","2507","4115474","2159","18755"," "," ","1","37.5881172","127.040545"
"29593","11290","31","3107014","1138","11637"," "," ","1","37.6031351","127.0311416"
"29595","11290","2453","4121439","4749","41541"," "," ","1","37.6033525","127.0347019"
"29596","11290","2445","4121439","4749","41529"," "," ","1","37.6033759","127.0359681"
"29598","11260","582","4118520","1563","16116"," "," ","1","37.5819706","127.0956948"
"29599","11230","2875","4115563","2436","22783"," "," "," ","37.5656674","127.0635607"
"29600","11230","2474","4115477","2151","18665"," "," ","1","37.5889591","127.04128"
"29602","11230","2451","4115477","2145","18617"," "," ","1","37.5871838","127.0414792"
"29603","11230","2664","4115415","2254","20124","오복연립","Obok Apt."," ","37.5767349","127.0709728"
"29605","11230","3100","4115032","2609","24390"," "," "," ","37.5778163","127.0396072"
"29606","11290","1260","3107023","1785","19019"," "," "," ","37.5922001","127.0384802"
"29904","11320","752","4127029","1895","20726"," "," "," ","37.6474152","127.0466316"
"29906","11320","413","3109002","285","10206","타운빌라","Taun Villa","1","37.6669149","127.0330486"
"29907","11305","870","4124283","3379","18953"," "," ","1","37.628855","127.0200756"
"29908","11305","128","4124044","734","3174"," "," ","1","37.6343985","127.0310594"
"29910","11305","731","4124349","3290","16338"," "," ","1","37.626156","127.0142442"
"29911","11290","2052","4121352","4259","35249"," "," "," ","37.5890391","127.003061"
"29912","11305","664","4124468","3153","15115"," "," ","1","37.6132748","127.031839"
"29914","11305","1425","4124560","3754","28758"," "," ","1","37.6383763","127.0312314"
"29915","11320","3","4127301","11","127"," "," ","1","37.6342765","127.0396051"
"29917","11305","1255","4124137","3581","24762"," "," ","1","37.6350214","127.0222425"
"29918","11305","715","4124343","3275","16014","강북우체국","Gangbuk Post Office","1","37.6240972","127.0282588"
"29920","11305","326","3108002","1753","8269"," "," ","1","37.6254538","127.0125919"
"29921","11305","318","4124122","1724","8158"," "," ","1","37.6297266","127.0213129"
"29923","11320","367","3005047","282","9749","북부교육청","Bukbu District Office of Education","1","37.6518406","127.0433126"
"29924","11305","506","4124102","2466","11514"," "," ","1","37.6238362","127.0306064"
"29925","11305","1436","4124463","3768","29039"," "," ","1","37.6107013","127.0321076"
"29926","11305","1640","3005038","3851","31127"," "," ","1","37.647398","127.0168104"
"29928","11290","1668","4121264","2906","26390"," "," "," ","37.587313","127.0053679"
"29930","11290","1673","4121263","2912","26414"," "," "," ","37.5872401","127.005788"
"29931","11230","3977","3105010","3463","31346"," "," "," ","37.5916022","127.0572762"
"29932","11230","3557","4115665","3523","31626"," "," "," ","37.5848805","127.0445874"
"29934","11230","1518","4115286","1323","11979","대명빌라","Daemyeong Villa","1","37.5773491","127.0412041"
"29935","11230","3648","3105020","3054","28231"," "," "," ","37.5912616","127.0509757"
"30241","11290","592","3107011","836","8693","안적사(조계종)","Anjeoksa(the Jogye Order)"," ","37.5860713","127.0232893"
